feature_set,variant,model,tuned_parameters,clf_parameters,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean,cv_gmean_mean,cv_accuracy_std,cv_balanced_accuracy_std,cv_precision_std,cv_recall_std,cv_f1_std,cv_roc_auc_std,cv_gmean_std,holdout_accuracy,holdout_bal_acc,holdout_precision,holdout_recall,holdout_f1,holdout_roc_auc,holdout_gmean
fa_200,scaled,SVC-RBF,"{""clf__C"": 1.0, ""clf__gamma"": ""scale""}","{""C"": 1.0, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": ""balanced"", ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 3, ""gamma"": ""scale"", ""kernel"": ""rbf"", ""max_iter"": -1, ""probability"": false, ""random_state"": 1618, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}",0.8925669254567744,0.8926110975808017,0.8853301061148879,0.9010110346128455,0.8929747522902403,0.9566008823137239,0.8924899773629547,0.00942331554313476,0.009459325636769175,0.008836579258641897,0.019198940542644156,0.010158237246774735,0.003933618372260543,0.009342747634562203,0.8954191875540191,0.8955180842417289,0.8772802653399668,0.9184027777777778,0.897370653095844,0.9585126219162363,0.8952256307801612
fa_200,scaled,SGD-Hinge,{},"{""alpha"": 0.0001, ""average"": false, ""class_weight"": ""balanced"", ""early_stopping"": false, ""epsilon"": 0.1, ""eta0"": 0.01, ""fit_intercept"": true, ""l1_ratio"": 0.15, ""learning_rate"": ""optimal"", ""loss"": ""hinge"", ""max_iter"": 20000, ""n_iter_no_change"": 5, ""n_jobs"": null, ""penalty"": ""l2"", ""power_t"": 0.5, ""random_state"": 1618, ""shuffle"": true, ""tol"": 0.001, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",0.8610021598272137,0.8610466471421067,0.8554633715187319,0.8684457229086107,0.8615130819156975,0.9347814085225249,0.8607456897063315,0.004692103617434867,0.004622853508905008,0.018635588864076357,0.018917614629160265,0.003601540184045978,0.003843537296312898,0.004713462059592748,0.8522039757994814,0.8522198914706445,0.8485370051635112,0.8559027777777778,0.8522039757994814,0.9248960126219163,0.8522119335979084
fa_200,scaled,KNN,"{""clf__n_neighbors"": 5}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": null, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",0.7585380888447842,0.7591960709607412,0.6972373562686573,0.9101320381024239,0.7895673327014251,0.8516048955352288,0.744025990030224,0.010168958504535194,0.010327514211600174,0.006280416123054013,0.015488350018873444,0.009608291127490811,0.014627356491334474,0.009617843305271158,0.766637856525497,0.7673357118951998,0.7002617801047121,0.9288194444444444,0.7985074626865671,0.8501834719831707,0.7501513839697139
fa_200,scaled,DecisionTree,{},"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 1618, ""splitter"": ""best""}",0.7552995154982195,0.7552847504769062,0.7567836200247307,0.7490474394039424,0.7527343611488517,0.7552847504769062,0.7551240386590323,0.01798403395361466,0.018029413982549775,0.013937782009287117,0.02966243466257695,0.02039043010692071,0.018029413982549772,0.01804223510115877,0.7579948141745895,0.7580575277299675,0.7491582491582491,0.7725694444444444,0.7606837606837606,0.7580575277299675,0.7579186101563561
fa_200,scaled,RandomForest,"{""clf__max_depth"": null, ""clf__n_estimators"": 300}","{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 1618, ""verbose"": 0, ""warm_start"": false}",0.8517092989317611,0.8518666676912752,0.827540573788111,0.887109308686221,0.8562278266418168,0.9303408763220379,0.8510893524916814,0.005527368776018412,0.005514977363124048,0.007297766149850162,0.011269517355895927,0.0057437572947652265,0.003756967171318386,0.005477622739745906,0.8530682800345721,0.853282176324345,0.8201892744479495,0.9027777777777778,0.859504132231405,0.9288941480206541,0.851845442477433
fa_200,scaled,ExtraTrees,"{""clf__max_depth"": 20, ""clf__n_estimators"": 600}","{""bootstrap"": false, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 600, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 1618, ""verbose"": 0, ""warm_start"": false}",0.8629520751853367,0.8631097355422771,0.8380551715609583,0.8984089408657926,0.8670124669484078,0.9399309127536855,0.8622624400014363,0.008837889628587912,0.008904666913882439,0.004764591436453512,0.02312279665835132,0.010350514759835812,0.005340486996009993,0.008442870448071915,0.8660328435609335,0.8662731282271945,0.828393135725429,0.921875,0.8726376335250616,0.9354082998661312,0.8644868793358809
fa_200,scaled,GradientBoosting,{},"{""ccp_alpha"": 0.0, ""criterion"": ""friedman_mse"", ""init"": null, ""learning_rate"": 0.1, ""loss"": ""log_loss"", ""max_depth"": 3, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 100, ""n_iter_no_change"": null, ""random_state"": 1618, ""subsample"": 1.0, ""tol"": 0.0001, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",0.8571137703578309,0.857255134721842,0.8348546747962098,0.8888474959917003,0.8609765212570709,0.9353978765113281,0.8566518589729203,0.00851875092314245,0.008519736743035067,0.008289868481530677,0.011373746026150367,0.00847067829530037,0.0055797157868273375,0.008491515801934042,0.8703543647363872,0.8705013506406578,0.8457792207792207,0.9045138888888888,0.8741610738255033,0.9366961895199848,0.8698366218486793
fa_200,scaled,HistGB,"{""clf__max_depth"": 6}","{""categorical_features"": ""from_dtype"", ""class_weight"": null, ""early_stopping"": ""auto"", ""interaction_cst"": null, ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""loss"": ""log_loss"", ""max_bins"": 255, ""max_depth"": 6, ""max_features"": 1.0, ""max_iter"": 100, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""monotonic_cst"": null, ""n_iter_no_change"": 10, ""random_state"": 1618, ""scoring"": ""loss"", ""tol"": 1e-07, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",0.8731091004611523,0.8732447443096728,0.8508690776133576,0.9036140714892011,0.8763764109750593,0.9431913333096238,0.8726653149983795,0.008269239556865347,0.00828575082068037,0.009320613672504837,0.013567283190246603,0.008243652997531662,0.004587526944839664,0.008237260592222101,0.8729472774416595,0.8731279283801874,0.8432,0.9149305555555556,0.8776019983347211,0.9424065308854466,0.8721266649281599
fa_200,scaled,AdaBoost,{},"{""estimator"": null, ""learning_rate"": 1.0, ""n_estimators"": 50, ""random_state"": 1618}",0.8255508726869418,0.8255953696932234,0.8180574151514909,0.8354361973026503,0.826579401630305,0.9055882643049757,0.8254802965259718,0.007639927188395461,0.007672115634856014,0.006451292506010845,0.015591697600138179,0.008648039242593272,0.003207059811141753,0.007559691700583027,0.8305963699222126,0.8307052615222796,0.8135313531353136,0.8559027777777778,0.8341793570219966,0.9107247442149551,0.8303230194902179
fa_200,scaled,GaussianNaiveBayes,{},"{""priors"": null, ""var_smoothing"": 1e-09}",0.7230889031580177,0.7232774954101565,0.7044826519734848,0.764676978213713,0.733234508324614,0.7983662937441782,0.7219713887681459,0.01579879923172375,0.01583273255307104,0.014633296692458778,0.022063771311169128,0.015939720524952957,0.017480225412183824,0.01579365520560513,0.7277441659464131,0.7278100497227004,0.719327731092437,0.7430555555555556,0.730999146029035,0.7990145104226429,0.7276503576782327
umap_10,raw,LogisticRegression,"{""clf__C"": 1.0}","{""C"": 1.0, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 20000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 1618, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.7014705504640709,0.7015015217795203,0.6974434260236467,0.707766669810431,0.7024692974819781,0.7680683082466884,0.701371976750164,0.00943933446978948,0.009394981012976353,0.01322900589900495,0.008278779137269118,0.00742483361290509,0.01460566834864444,0.009513403051726618,0.7121866897147796,0.7122821643717728,0.7014925373134329,0.734375,0.7175572519083969,0.7750555794606999,0.7119394554988797
umap_10,raw,RidgeClassifier,{},"{""alpha"": 1.0, ""class_weight"": ""balanced"", ""copy_X"": true, ""fit_intercept"": true, ""max_iter"": null, ""positive"": false, ""random_state"": 1618, ""solver"": ""auto"", ""tol"": 0.0001}",0.6986588056739244,0.6986764063213652,0.6957492354020133,0.7016872583231161,0.698582914798166,0.7635719851570959,0.6985440123299906,0.007960862268511759,0.007976902480343887,0.00913362370604224,0.016743196413914023,0.009725813435696989,0.014606773055382128,0.00797987163739602,0.7095937770095073,0.70970787913559,0.6973684210526315,0.7361111111111112,0.7162162162162162,0.7702237521514629,0.7092165699195022
